"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.0399882343628796,4.6495323185809,3.22213842184283,0.953589127399027,32,50,82,TRUE,"Trait matching (Q4)"
-0.0336822387315633,3.91568254912272,3.67443417082541,0.260415591706987,35,41,72,TRUE,"Trait matching (Q1)"
-0.0203815055572421,1.16646200651303,2.10840266779996,0.241034466703422,25,45,69,TRUE,"Trait matching (Q1)"
-0.0799449522679129,2.63200486428104,1.55124430428259,0.177628866257146,46,37,77,TRUE,"Trait matching (Q1)"
-0.132140806704045,1.46957819117233,1.67310557095334,0.944419981178362,33,24,50,TRUE,"Trait matching (Q4)"
-0.0921670948304097,2.11838665301912,3.41416453244165,0.120856545004062,38,26,51,TRUE,"Trait matching (Q1)"
-0.130081599768859,4.00904639391229,1.31881223758683,0.618412476067897,46,20,52,TRUE,"Trait matching (Q3)"
-0.0229000271282254,1.76573286415078,4.61408277740702,0.275534095079638,38,44,76,TRUE,"Trait matching (Q1)"
-0.147343704146919,4.52211152645759,1.14093517418951,0.817899483826477,42,10,42,TRUE,"Trait matching (Q4)"
-0.137892650439513,0.336608688812703,1.13526371424086,0.978321076463908,26,30,56,TRUE,"Trait matching (Q4)"
-0.0405568882982618,0.406245180638507,2.67634245450608,0.150545445131138,34,16,42,TRUE,"Trait matching (Q1)"
-0.130555427279986,4.94105070014484,0.198170320363715,0.161787021846976,35,11,38,TRUE,"Trait matching (Q1)"
-0.0432076861873767,1.572119302582,4.57560335751623,0.532446877332404,30,41,71,TRUE,"Trait matching (Q3)"
-0.0624125856068002,0.106338668847457,4.51574692386203,0.351491751370486,44,42,79,TRUE,"Trait matching (Q2)"
-0.072843722137605,2.7788160846103,2.68452237360179,0.958624743483961,34,27,56,TRUE,"Trait matching (Q4)"
-0.0482946513025193,3.69327800697647,2.53821970312856,0.356959509267472,25,26,48,TRUE,"Trait matching (Q2)"
-0.0251982618395671,0.792702998733148,4.0510792681016,0.182232031971216,11,17,28,TRUE,"Trait matching (Q1)"
-0.0352035153191357,1.47772198193707,3.25776180019602,0.930843857128639,11,29,40,TRUE,"Trait matching (Q4)"
-0.0236382171209598,4.47696246323176,2.70574732800014,0.892399467376526,18,32,50,TRUE,"Trait matching (Q4)"
-0.0464480793667034,1.70954782050103,3.24225668678991,0.960634924063925,26,35,61,TRUE,"Trait matching (Q4)"
-0.0475396924251743,4.76448074332438,0.551407638704404,0.252776323864236,32,18,44,TRUE,"Trait matching (Q1)"
-0.0932154892259578,4.82982899411581,3.567620186368,0.935176675778348,27,17,37,TRUE,"Trait matching (Q4)"
-0.0195803972376383,4.73660702933557,0.52516448777169,0.919943758135196,19,43,62,TRUE,"Trait matching (Q4)"
